INFO 2019-06-06 15:47:35,531 app 10254 140342631589632 Started
INFO 2019-06-10 10:28:44,637 mongo_connect 14411 140243766269696 Connection Works!
INFO 2019-06-10 10:29:09,699 mongo_connect 14411 140243766269696 Connection!
INFO 2019-06-10 10:29:09,700 mongo_connect 14411 140243766269696 Connection Works!
INFO 2019-06-10 10:29:11,885 mongo_connect 14411 140243757876992 Connection!
INFO 2019-06-10 10:29:11,886 mongo_connect 14411 140243757876992 Connection Works!
INFO 2019-06-10 10:29:25,204 mongo_connect 14411 140243766269696 Connection!
INFO 2019-06-10 10:29:25,204 mongo_connect 14411 140243766269696 Connection Works!
INFO 2019-06-10 10:29:27,809 mongo_connect 14411 140243741091584 Connection!
INFO 2019-06-10 10:29:27,810 mongo_connect 14411 140243741091584 Connection Works!
INFO 2019-06-10 10:29:29,006 mongo_connect 14411 140243766269696 Connection!
INFO 2019-06-10 10:29:29,007 mongo_connect 14411 140243766269696 Connection Works!
INFO 2019-06-10 10:29:29,749 mongo_connect 14411 140243766269696 Connection!
INFO 2019-06-10 10:29:29,749 mongo_connect 14411 140243766269696 Connection Works!
INFO 2019-06-10 10:29:47,609 mongo_connect 14411 140243766269696 Connection!
INFO 2019-06-10 10:29:47,609 mongo_connect 14411 140243766269696 Connection Works!
INFO 2019-06-10 10:29:51,695 mongo_connect 14411 140243757876992 Connection!
INFO 2019-06-10 10:29:51,696 mongo_connect 14411 140243757876992 Connection Works!
INFO 2019-06-10 10:29:53,137 mongo_connect 14411 140243766269696 Connection!
INFO 2019-06-10 10:29:53,137 mongo_connect 14411 140243766269696 Connection Works!
INFO 2019-06-10 10:30:51,328 mongo_connect 14411 140243749484288 Connection!
INFO 2019-06-10 10:30:51,328 mongo_connect 14411 140243749484288 Connection Works!
INFO 2019-06-10 10:30:53,299 mongo_connect 14411 140243766269696 Connection!
INFO 2019-06-10 10:30:53,300 mongo_connect 14411 140243766269696 Connection Works!
INFO 2019-06-10 10:30:57,824 app 14628 140510639322880 Started
INFO 2019-06-10 10:30:58,261 app 14632 140431162799872 Started
INFO 2019-06-10 10:31:01,467 mongo_router 14632 140431000000256 evolv client route called
INFO 2019-06-10 10:31:01,469 mongo_connect 14632 140431000000256 Connection!
INFO 2019-06-10 10:31:01,471 mongo_connect 14632 140431000000256 Connection Works!
WARNING 2019-06-10 10:31:01,471 mongo_controller 14632 140431000000256 the function is called
INFO 2019-06-10 10:39:16,540 app 14813 139964027635456 Started
INFO 2019-06-10 10:39:20,064 mongo_router 14813 139963933513472 evolv client route called
INFO 2019-06-10 10:39:20,067 mongo_connect 14813 139963933513472 Connection!
INFO 2019-06-10 10:39:20,067 mongo_connect 14813 139963933513472 Connection Works!
WARNING 2019-06-10 10:39:20,068 mongo_controller 14813 139963933513472 the function is called
INFO 2019-06-10 10:40:06,217 app 14843 139976540079872 Started
INFO 2019-06-10 10:40:06,707 app 14848 139952474171136 Started
INFO 2019-06-10 10:40:09,767 mongo_router 14848 139952312473344 evolv client route called
INFO 2019-06-10 10:40:09,771 mongo_connect 14848 139952312473344 Connection!
INFO 2019-06-10 10:40:09,772 mongo_connect 14848 139952312473344 Connection Works!
INFO 2019-06-10 10:40:09,774 mongo_controller 14848 139952312473344 the function is called
INFO 2019-06-10 10:45:07,602 app 14997 140613390493440 Started
INFO 2019-06-10 11:46:10,830 app 20969 139743451354880 Started
INFO 2019-06-10 11:46:11,310 app 20973 139850008573696 Started
INFO 2019-06-10 11:46:40,626 app 20993 139838682490624 Started
INFO 2019-06-10 11:55:43,303 app 21283 139797017925376 Started
INFO 2019-06-10 11:59:20,860 app 21384 139863554754304 Started
INFO 2019-06-10 11:59:21,572 app 21388 140026366981888 Started
INFO 2019-06-10 11:59:24,873 mongo_router 21388 140026201503488 route called
INFO 2019-06-10 11:59:38,545 app 21415 140376444753664 Started
INFO 2019-06-10 11:59:41,933 mongo_router 21415 140376350631680 route called
INFO 2019-06-10 11:59:41,933 mongo_controller 21415 140376350631680 get_vision_client_ids called
INFO 2019-06-10 11:59:41,937 mongo_connect 21415 140376350631680 Connection!
INFO 2019-06-10 11:59:41,937 mongo_connect 21415 140376350631680 Connection Works!
INFO 2019-06-10 12:00:32,192 app 21451 140023387207424 Started
INFO 2019-06-10 12:00:37,019 mongo_router 21451 140023293085440 route called
INFO 2019-06-10 12:00:37,019 mongo_controller 21451 140023293085440 get_vision_client_ids called
INFO 2019-06-10 12:00:37,021 mongo_connect 21451 140023293085440 Connection!
INFO 2019-06-10 12:00:37,022 mongo_connect 21451 140023293085440 Connection Works!
INFO 2019-06-10 12:07:58,914 app 21670 140466646177536 Started
INFO 2019-06-10 12:07:59,385 app 21674 139824704456448 Started
INFO 2019-06-10 12:08:02,029 mongo_router 21674 139824539367168 route called
INFO 2019-06-10 12:08:02,032 mongo_controller 21674 139824539367168 get_vision_client_ids called
INFO 2019-06-10 12:08:02,042 mongo_connect 21674 139824539367168 Connection!
INFO 2019-06-10 12:08:02,042 mongo_connect 21674 139824539367168 Connection Works!
INFO 2019-06-10 12:09:19,337 app 21728 140058758346496 Started
INFO 2019-06-10 12:09:19,793 app 21732 139696578447104 Started
INFO 2019-06-10 12:09:21,843 mongo_router 21732 139696484345600 route called
INFO 2019-06-10 12:09:21,844 mongo_controller 21732 139696484345600 get_vision_client_ids called
INFO 2019-06-10 12:09:21,847 mongo_connect 21732 139696484345600 Connection!
INFO 2019-06-10 12:09:21,848 mongo_connect 21732 139696484345600 Connection Works!
INFO 2019-06-10 12:10:57,083 app 21781 139805914494720 Started
INFO 2019-06-10 12:10:57,532 app 21785 140178746078976 Started
INFO 2019-06-10 12:10:59,695 mongo_router 21785 140178651956992 route called
INFO 2019-06-10 12:10:59,696 mongo_controller 21785 140178651956992 get_vision_client_ids called
INFO 2019-06-10 12:10:59,699 mongo_connect 21785 140178651956992 Connection!
INFO 2019-06-10 12:10:59,700 mongo_connect 21785 140178651956992 Connection Works!
INFO 2019-06-10 12:12:55,422 app 21842 139929372612352 Started
INFO 2019-06-10 12:12:55,967 app 21846 140207140304640 Started
INFO 2019-06-10 12:12:57,853 mongo_router 21846 140207046182656 route called
INFO 2019-06-10 12:12:57,853 mongo_controller 21846 140207046182656 get_vision_client_ids called
INFO 2019-06-10 12:12:57,856 mongo_connect 21846 140207046182656 Connection!
INFO 2019-06-10 12:12:57,856 mongo_connect 21846 140207046182656 Connection Works!
INFO 2019-06-10 12:14:10,865 app 21896 140601768273664 Started
INFO 2019-06-10 12:14:13,354 mongo_router 21896 140601674151680 route called
INFO 2019-06-10 12:14:13,355 mongo_controller 21896 140601674151680 get_vision_client_ids called
INFO 2019-06-10 12:14:13,362 mongo_connect 21896 140601674151680 Connection!
INFO 2019-06-10 12:14:13,377 mongo_connect 21896 140601674151680 Connection Works!
INFO 2019-06-10 12:14:36,015 mongo_router 21896 140601584510720 route called
INFO 2019-06-10 12:14:36,015 mongo_controller 21896 140601584510720 get_vision_client_ids called
INFO 2019-06-10 12:14:36,017 mongo_connect 21896 140601584510720 Connection!
INFO 2019-06-10 12:14:36,017 mongo_connect 21896 140601584510720 Connection Works!
INFO 2019-06-10 12:18:20,538 app 22014 139827022587648 Started
INFO 2019-06-10 12:18:21,028 app 22019 140172034377472 Started
INFO 2019-06-10 12:18:22,671 mongo_router 22019 140171940255488 route called
INFO 2019-06-10 12:18:22,672 mongo_controller 22019 140171940255488 get_vision_client_ids called
INFO 2019-06-10 12:18:22,674 mongo_connect 22019 140171940255488 Connection!
INFO 2019-06-10 12:18:22,674 mongo_connect 22019 140171940255488 Connection Works!
INFO 2019-06-10 12:24:02,409 mongo_connect 22105 140013624170240 Connection!
INFO 2019-06-10 12:24:02,410 mongo_connect 22105 140013624170240 Connection Works!
INFO 2019-06-10 12:27:43,478 app 22309 140193121810176 Started
INFO 2019-06-10 12:27:43,950 app 22313 140533505132288 Started
INFO 2019-06-10 12:27:45,927 mongo_router 22313 140533343188736 route called
INFO 2019-06-10 12:27:45,928 mongo_controller 22313 140533343188736 get_vision_client_ids called
INFO 2019-06-10 12:27:45,929 mongo_connect 22313 140533343188736 Connection!
INFO 2019-06-10 12:27:45,930 mongo_connect 22313 140533343188736 Connection Works!
INFO 2019-06-10 12:28:25,106 app 22350 139869650396928 Started
INFO 2019-06-10 12:28:29,211 mongo_router 22350 139869556274944 route called
INFO 2019-06-10 12:28:29,213 mongo_controller 22350 139869556274944 get_vision_client_ids called
INFO 2019-06-10 12:28:29,221 mongo_connect 22350 139869556274944 Connection!
INFO 2019-06-10 12:28:29,234 mongo_connect 22350 139869556274944 Connection Works!
INFO 2019-06-10 12:29:07,875 app 22386 140131466393344 Started
INFO 2019-06-10 12:29:08,807 app 22390 139756074391296 Started
INFO 2019-06-10 12:29:10,406 mongo_router 22390 139755980269312 route called
INFO 2019-06-10 12:29:10,406 mongo_controller 22390 139755980269312 get_vision_client_ids called
INFO 2019-06-10 12:29:10,410 mongo_connect 22390 139755980269312 Connection!
INFO 2019-06-10 12:29:10,410 mongo_connect 22390 139755980269312 Connection Works!
INFO 2019-06-10 12:29:41,488 app 22426 140630695335680 Started
INFO 2019-06-10 12:29:42,073 app 22431 140319085004544 Started
INFO 2019-06-10 12:29:43,748 mongo_router 22431 140318990882560 route called
INFO 2019-06-10 12:29:43,749 mongo_controller 22431 140318990882560 get_vision_client_ids called
INFO 2019-06-10 12:29:43,752 mongo_connect 22431 140318990882560 Connection!
INFO 2019-06-10 12:29:43,752 mongo_connect 22431 140318990882560 Connection Works!
INFO 2019-06-10 12:30:17,083 app 22459 139890550515456 Started
INFO 2019-06-10 12:30:17,961 app 22464 140567155996416 Started
INFO 2019-06-10 12:30:19,862 mongo_router 22464 140567061874432 route called
INFO 2019-06-10 12:30:19,864 mongo_controller 22464 140567061874432 get_vision_client_ids called
INFO 2019-06-10 12:30:19,868 mongo_connect 22464 140567061874432 Connection!
INFO 2019-06-10 12:30:19,868 mongo_connect 22464 140567061874432 Connection Works!
INFO 2019-06-10 12:31:19,842 app 22512 140168665081600 Started
INFO 2019-06-10 12:31:20,331 app 22516 139901739648768 Started
INFO 2019-06-10 12:31:25,095 mongo_router 22516 139901578172160 route called
INFO 2019-06-10 12:31:25,096 mongo_controller 22516 139901578172160 get_vision_client_ids called
INFO 2019-06-10 12:31:25,098 mongo_connect 22516 139901578172160 Connection!
INFO 2019-06-10 12:31:25,098 mongo_connect 22516 139901578172160 Connection Works!
INFO 2019-06-10 12:32:50,572 mongo_router 22516 139901552994048 route called
INFO 2019-06-10 12:32:50,572 mongo_controller 22516 139901552994048 get_vision_client_ids called
INFO 2019-06-10 12:32:50,576 mongo_connect 22516 139901552994048 Connection!
INFO 2019-06-10 12:32:50,576 mongo_connect 22516 139901552994048 Connection Works!
INFO 2019-06-10 12:33:10,109 app 22584 140274613315328 Started
INFO 2019-06-10 12:33:10,637 app 22589 140329567225600 Started
INFO 2019-06-10 12:33:12,420 mongo_router 22589 140329399351040 route called
INFO 2019-06-10 12:33:12,421 mongo_controller 22589 140329399351040 get_vision_client_ids called
INFO 2019-06-10 12:33:12,438 mongo_connect 22589 140329399351040 Connection!
INFO 2019-06-10 12:33:12,438 mongo_connect 22589 140329399351040 Connection Works!
INFO 2019-06-10 12:34:13,603 app 22636 140078077388544 Started
INFO 2019-06-10 12:34:14,108 app 22640 140016421902080 Started
INFO 2019-06-10 12:34:16,466 mongo_router 22640 140016327780096 route called
INFO 2019-06-10 12:34:16,467 mongo_controller 22640 140016327780096 get_vision_client_ids called
INFO 2019-06-10 12:34:16,489 mongo_connect 22640 140016327780096 Connection!
INFO 2019-06-10 12:34:16,489 mongo_connect 22640 140016327780096 Connection Works!
INFO 2019-06-10 12:35:13,379 app 22679 140555890857728 Started
INFO 2019-06-10 12:35:16,611 mongo_router 22679 140555796735744 route called
INFO 2019-06-10 12:35:16,612 mongo_controller 22679 140555796735744 get_vision_client_ids called
INFO 2019-06-10 12:35:16,615 mongo_connect 22679 140555796735744 Connection!
INFO 2019-06-10 12:35:16,615 mongo_connect 22679 140555796735744 Connection Works!
INFO 2019-06-10 12:35:27,291 app 22702 140273436497664 Started
INFO 2019-06-10 12:35:28,467 mongo_router 22702 140273342375680 route called
INFO 2019-06-10 12:35:28,468 mongo_controller 22702 140273342375680 get_vision_client_ids called
INFO 2019-06-10 12:35:28,470 mongo_connect 22702 140273342375680 Connection!
INFO 2019-06-10 12:35:28,470 mongo_connect 22702 140273342375680 Connection Works!
INFO 2019-06-10 12:38:13,007 app 22782 140604733384448 Started
INFO 2019-06-10 12:38:15,754 mongo_router 22782 140604639262464 route called
INFO 2019-06-10 12:38:15,755 mongo_controller 22782 140604639262464 get_vision_client_ids called
INFO 2019-06-10 12:38:15,757 mongo_connect 22782 140604639262464 Connection!
INFO 2019-06-10 12:38:15,758 mongo_connect 22782 140604639262464 Connection Works!
INFO 2019-06-10 13:49:16,322 app 24145 140258541106944 Started
INFO 2019-06-10 13:53:04,007 app 24256 139890980972288 Started
INFO 2019-06-10 13:53:11,488 mongo_router 24256 139890886850304 route called
INFO 2019-06-10 13:53:11,489 mongo_controller 24256 139890886850304 get_vision_client_web_version called
INFO 2019-06-10 13:53:11,491 mongo_connect 24256 139890886850304 Connection!
INFO 2019-06-10 13:53:11,492 mongo_connect 24256 139890886850304 Connection Works!
INFO 2019-06-10 13:55:47,089 app 24385 140155284133632 Started
INFO 2019-06-10 13:56:54,656 app 24430 140393046353664 Started
INFO 2019-06-10 13:57:21,294 mongo_router 24430 140392875943680 route called
INFO 2019-06-10 13:58:21,286 mongo_router 24430 140392884336384 route called
INFO 2019-06-10 13:58:25,954 mongo_router 24430 140392875943680 route called
INFO 2019-06-10 13:58:49,689 app 24502 140482977617664 Started
INFO 2019-06-10 13:58:50,187 app 24507 140062113814272 Started
INFO 2019-06-10 13:59:30,579 mongo_router 24507 140062011299584 route called
INFO 2019-06-10 13:59:30,580 mongo_controller 24507 140062011299584 get_vision_client_ids called
INFO 2019-06-10 13:59:30,582 mongo_connect 24507 140062011299584 Connection!
INFO 2019-06-10 13:59:30,583 mongo_connect 24507 140062011299584 Connection Works!
INFO 2019-06-10 14:00:32,045 app 24572 140382268376832 Started
INFO 2019-06-10 14:00:32,517 app 24576 140670986807040 Started
INFO 2019-06-10 14:01:08,575 app 24600 140376581125888 Started
INFO 2019-06-10 14:03:02,601 app 24658 140231651374848 Started
INFO 2019-06-10 14:03:03,148 app 24662 140622823520000 Started
INFO 2019-06-10 14:04:14,796 mongo_router 24662 140622729398016 route called
INFO 2019-06-10 14:04:14,797 mongo_controller 24662 140622729398016 get_vision_client_web_version called
INFO 2019-06-10 14:04:14,809 mongo_connect 24662 140622729398016 Connection!
INFO 2019-06-10 14:04:14,809 mongo_connect 24662 140622729398016 Connection Works!
INFO 2019-06-10 14:06:08,313 app 24773 140522054641408 Started
INFO 2019-06-10 14:06:08,842 app 24777 140295045740288 Started
INFO 2019-06-10 14:06:13,175 mongo_router 24777 140294943225600 /mongo/vision/<int:client_id>/web/version route called
INFO 2019-06-10 14:06:13,176 mongo_controller 24777 140294943225600 get_vision_client_web_version called
INFO 2019-06-10 14:06:13,184 mongo_connect 24777 140294943225600 Connection!
INFO 2019-06-10 14:06:13,184 mongo_connect 24777 140294943225600 Connection Works!
INFO 2019-06-10 14:07:01,359 mongo_router 24777 140294951618304 /mongo/vision/<client_id> route called
INFO 2019-06-10 14:07:01,359 mongo_controller 24777 140294951618304 get_vision_client_ids called
INFO 2019-06-10 14:07:01,362 mongo_connect 24777 140294951618304 Connection!
INFO 2019-06-10 14:07:01,363 mongo_connect 24777 140294951618304 Connection Works!
INFO 2019-06-10 14:07:50,634 app 24844 140323311703808 Started
INFO 2019-06-10 14:07:53,425 mongo_router 24844 140323217581824 /mongo/vision/<client_id> route called
INFO 2019-06-10 14:07:53,425 mongo_controller 24844 140323217581824 get_vision_client_ids called
INFO 2019-06-10 14:07:53,428 mongo_connect 24844 140323217581824 Connection!
INFO 2019-06-10 14:07:53,428 mongo_connect 24844 140323217581824 Connection Works!
INFO 2019-06-10 14:07:56,883 mongo_router 24844 140323209189120 /mongo/vision/<int:client_id>/web/version route called
INFO 2019-06-10 14:07:56,883 mongo_controller 24844 140323209189120 get_vision_client_web_version called
INFO 2019-06-10 14:07:56,886 mongo_connect 24844 140323209189120 Connection!
INFO 2019-06-10 14:07:56,886 mongo_connect 24844 140323209189120 Connection Works!
INFO 2019-06-10 14:08:22,124 app 24874 139797032711936 Started
INFO 2019-06-10 14:08:22,657 app 24878 139904771110656 Started
INFO 2019-06-10 14:08:26,840 mongo_router 24878 139904676988672 /mongo/vision/<client_id>/web route called
INFO 2019-06-10 14:08:56,169 app 24906 140313408673536 Started
INFO 2019-06-10 14:08:56,631 app 24911 140459383719680 Started
INFO 2019-06-10 14:09:03,190 mongo_router 24911 140459289597696 /mongo/vision/<client_id>/webdoc route called
INFO 2019-06-10 14:09:03,191 mongo_controller 24911 140459289597696 get_vision_client_web_document called
INFO 2019-06-10 14:09:03,194 mongo_connect 24911 140459289597696 Connection!
INFO 2019-06-10 14:09:03,194 mongo_connect 24911 140459289597696 Connection Works!
INFO 2019-06-10 14:09:35,875 app 24944 140081976850176 Started
INFO 2019-06-10 14:09:38,083 mongo_router 24944 140081882728192 /mongo/vision/<client_id>/webdoc route called
INFO 2019-06-10 14:09:38,083 mongo_controller 24944 140081882728192 get_vision_client_web_document called
INFO 2019-06-10 14:09:38,086 mongo_connect 24944 140081882728192 Connection!
INFO 2019-06-10 14:09:38,086 mongo_connect 24944 140081882728192 Connection Works!
INFO 2019-06-10 14:09:41,573 mongo_router 24944 140081865942784 /mongo/vision/<client_id>/webdoc route called
INFO 2019-06-10 14:09:41,573 mongo_controller 24944 140081865942784 get_vision_client_web_document called
INFO 2019-06-10 14:09:41,575 mongo_connect 24944 140081865942784 Connection!
INFO 2019-06-10 14:09:41,575 mongo_connect 24944 140081865942784 Connection Works!
INFO 2019-06-10 14:12:03,543 app 25029 140362050541312 Started
INFO 2019-06-10 14:12:05,156 mongo_router 25029 140361956419328 /mongo/vision/<client_id>/webdoc route called
INFO 2019-06-10 14:12:05,157 mongo_controller 25029 140361956419328 get_vision_client_web_document called
INFO 2019-06-10 14:12:05,159 mongo_connect 25029 140361956419328 Connection!
INFO 2019-06-10 14:12:05,160 mongo_connect 25029 140361956419328 Connection Works!
INFO 2019-06-10 14:12:54,945 app 25069 140293109884672 Started
INFO 2019-06-10 14:12:57,019 mongo_router 25069 140293015762688 /mongo/vision/<client_id>/webdoc route called
INFO 2019-06-10 14:12:57,019 mongo_controller 25069 140293015762688 get_vision_client_web_document called
INFO 2019-06-10 14:12:57,021 mongo_connect 25069 140293015762688 Connection!
INFO 2019-06-10 14:12:57,021 mongo_connect 25069 140293015762688 Connection Works!
INFO 2019-06-10 14:13:11,847 mongo_router 25069 140292998977280 /mongo/vision/<client_id>/webdoc route called
INFO 2019-06-10 14:13:11,848 mongo_controller 25069 140292998977280 get_vision_client_web_document called
INFO 2019-06-10 14:13:11,850 mongo_connect 25069 140292998977280 Connection!
INFO 2019-06-10 14:13:11,850 mongo_connect 25069 140292998977280 Connection Works!
INFO 2019-06-10 14:13:14,549 mongo_router 25069 140292970301184 /mongo/vision/<client_id>/webdoc route called
INFO 2019-06-10 14:13:14,549 mongo_controller 25069 140292970301184 get_vision_client_web_document called
INFO 2019-06-10 14:13:14,553 mongo_connect 25069 140292970301184 Connection!
INFO 2019-06-10 14:13:14,554 mongo_connect 25069 140292970301184 Connection Works!
INFO 2019-06-10 14:14:01,166 app 25135 139918858835712 Started
INFO 2019-06-10 14:14:02,722 mongo_router 25135 139918693103360 /mongo/vision/<client_id>/webdoc route called
INFO 2019-06-10 14:14:02,723 mongo_controller 25135 139918693103360 get_vision_client_web_document called
INFO 2019-06-10 14:14:02,725 mongo_connect 25135 139918693103360 Connection!
INFO 2019-06-10 14:14:02,725 mongo_connect 25135 139918693103360 Connection Works!
INFO 2019-06-10 14:15:05,661 app 25179 140353384597248 Started
INFO 2019-06-10 14:15:10,491 mongo_router 25179 140353222997760 /mongo/vision/<client_id>/webdapp route called
INFO 2019-06-10 14:15:10,493 mongo_controller 25179 140353222997760 get_vision_client_web_document called
INFO 2019-06-10 14:15:10,498 mongo_connect 25179 140353222997760 Connection!
INFO 2019-06-10 14:15:10,499 mongo_connect 25179 140353222997760 Connection Works!
INFO 2019-06-10 14:15:18,159 mongo_router 25179 140353214605056 /mongo/vision/<int:client_id>/web/version route called
INFO 2019-06-10 14:15:18,159 mongo_controller 25179 140353214605056 get_vision_client_web_version called
INFO 2019-06-10 14:15:18,161 mongo_connect 25179 140353214605056 Connection!
INFO 2019-06-10 14:15:18,161 mongo_connect 25179 140353214605056 Connection Works!
INFO 2019-06-10 14:15:21,849 mongo_router 25179 140353222997760 /mongo/vision/<client_id>/webdapp route called
INFO 2019-06-10 14:15:21,849 mongo_controller 25179 140353222997760 get_vision_client_web_document called
INFO 2019-06-10 14:15:21,851 mongo_connect 25179 140353222997760 Connection!
INFO 2019-06-10 14:15:21,852 mongo_connect 25179 140353222997760 Connection Works!
INFO 2019-06-10 14:18:25,449 app 25295 140555302680320 Started
INFO 2019-06-10 14:18:25,976 app 25300 140048999827200 Started
INFO 2019-06-10 14:18:28,607 mongo_router 25300 140048905705216 /mongo/vision/<client_id>/webdapp route called
INFO 2019-06-10 14:18:28,607 mongo_controller 25300 140048905705216 get_vision_client_web_document called
INFO 2019-06-10 14:18:28,610 mongo_connect 25300 140048905705216 Connection!
INFO 2019-06-10 14:18:28,610 mongo_connect 25300 140048905705216 Connection Works!
INFO 2019-06-10 14:19:01,884 mongo_router 25300 140048905705216 /mongo/vision/<int:client_id>/web/crm_version route called
INFO 2019-06-10 14:19:01,885 mongo_controller 25300 140048905705216 get_vision_client_web_version called
INFO 2019-06-10 14:19:01,886 mongo_connect 25300 140048905705216 Connection!
INFO 2019-06-10 14:19:01,886 mongo_connect 25300 140048905705216 Connection Works!
INFO 2019-06-10 14:19:05,797 mongo_router 25300 140048808797952 /mongo/vision/<int:client_id>/web/version route called
INFO 2019-06-10 14:19:05,797 mongo_controller 25300 140048808797952 get_vision_client_web_version called
INFO 2019-06-10 14:19:05,799 mongo_connect 25300 140048808797952 Connection!
INFO 2019-06-10 14:19:05,800 mongo_connect 25300 140048808797952 Connection Works!
INFO 2019-06-10 14:19:12,610 mongo_router 25300 140048905705216 /mongo/vision/<client_id>/webdapp route called
INFO 2019-06-10 14:19:12,610 mongo_controller 25300 140048905705216 get_vision_client_web_document called
INFO 2019-06-10 14:19:12,612 mongo_connect 25300 140048905705216 Connection!
INFO 2019-06-10 14:19:12,613 mongo_connect 25300 140048905705216 Connection Works!
INFO 2019-06-10 14:19:43,147 mongo_router 25300 140048905705216 /mongo/vision/<client_id> route called
INFO 2019-06-10 14:19:43,147 mongo_controller 25300 140048905705216 get_vision_client_ids called
INFO 2019-06-10 14:19:43,149 mongo_connect 25300 140048905705216 Connection!
INFO 2019-06-10 14:19:43,150 mongo_connect 25300 140048905705216 Connection Works!
